Date,adj close,Date,Comp,Negative,Neutral,Positive
2007-03-29,12348.75,2007-03-29,-0.9888,0.123,0.794,-0.9888
2007-03-30,12354.349609,2007-03-30,-0.9937,0.134,0.777,-0.9937
2007-03-31,12363.666341,2007-03-31,-0.9893,0.14,0.776,-0.9893
2007-04-01,12372.983073000001,2007-04-01,-0.906,0.12,0.784,-0.906
2007-04-02,12382.299805,2007-04-02,-0.9815,0.11,0.804,-0.9815
2007-04-03,12510.299805,2007-04-03,-0.9392,0.122,0.764,-0.9392
2007-04-04,12530.049805,2007-04-04,-0.8881,0.098,0.812,-0.8881
2007-04-05,12560.200195,2007-04-05,-0.9941,0.13,0.771,-0.9941
2007-04-06,12562.43505825,2007-04-06,-0.9969,0.166,0.747,-0.9969
2007-04-07,12564.6699215,2007-04-07,-0.9586,0.134,0.775,-0.9586
2007-04-08,12566.90478475,2007-04-08,-0.9858,0.143,0.768,-0.9858
2007-04-09,12569.139648,2007-04-09,-0.9891,0.111,0.819,-0.9891
2007-04-10,12573.849609,2007-04-10,-0.9923,0.133,0.765,-0.9923
2007-04-11,12484.620117,2007-04-11,-0.9978,0.153,0.765,-0.9978
2007-04-12,12552.959961,2007-04-12,-0.9978,0.133,0.815,-0.9978
2007-04-13,12612.129883,2007-04-13,-0.9949,0.126,0.795,-0.9949
2007-04-14,12648.239909,2007-04-14,-0.9924,0.157,0.784,-0.9924
2007-04-15,12684.349935,2007-04-15,-0.9974,0.211,0.705,-0.9974
2007-04-16,12720.459961,2007-04-16,-0.9939,0.14,0.752,-0.9939
2007-04-17,12773.040039,2007-04-17,-0.9953,0.137,0.775,-0.9953
2007-04-18,12803.839844,2007-04-18,-0.9959,0.162,0.72,-0.9959
2007-04-19,12808.629883,2007-04-19,-0.9946,0.148,0.742,-0.9946
2007-04-20,12961.980469,2007-04-20,-0.9989,0.2,0.68,-0.9989
2007-04-21,12947.787109666666,2007-04-21,-0.9889,0.166,0.729,-0.9889
2007-04-22,12933.593750333333,2007-04-22,-0.9967,0.186,0.727,-0.9967
2007-04-23,12919.400391,2007-04-23,-0.9964,0.125,0.822,-0.9964
2007-04-24,12953.94043,2007-04-24,-0.998,0.164,0.736,-0.998
2007-04-25,13089.889648,2007-04-25,-0.998,0.186,0.697,-0.998
2007-04-26,13105.5,2007-04-26,-0.9966,0.164,0.73,-0.9966
2007-04-27,13120.94043,2007-04-27,-0.9301,0.111,0.79,-0.9301
2007-04-28,13101.597005333333,2007-04-28,-0.9672,0.132,0.779,-0.9672
2007-04-29,13082.253580666667,2007-04-29,-0.2157,0.111,0.791,-0.2157
2007-04-30,13062.910156,2007-04-30,-0.995,0.148,0.721,-0.995
2007-05-01,13136.139648,2007-05-01,-0.9958,0.123,0.798,-0.9958
2007-05-02,13211.879883,2007-05-02,-0.761,0.114,0.762,-0.761
2007-05-03,13241.379883,2007-05-03,-0.9931,0.14,0.752,-0.9931
2007-05-04,13264.620117,2007-05-04,-0.9908,0.115,0.798,-0.9908
2007-05-05,13280.736653666667,2007-05-05,-0.9918,0.146,0.774,-0.9918
2007-05-06,13296.853190333333,2007-05-06,-0.9945,0.175,0.737,-0.9945
2007-05-07,13312.969727,2007-05-07,-0.9952,0.159,0.735,-0.9952
2007-05-08,13309.070312,2007-05-08,-0.9988,0.189,0.696,-0.9988
2007-05-09,13362.870117,2007-05-09,-0.9982,0.17,0.732,-0.9982
2007-05-10,13215.129883,2007-05-10,-0.9901,0.123,0.794,-0.9901
2007-05-11,13326.219727,2007-05-11,-0.9952,0.13,0.795,-0.9952
2007-05-12,13333.073242333334,2007-05-12,-0.9934,0.172,0.756,-0.9934
2007-05-13,13339.926757666666,2007-05-13,-0.9849,0.168,0.712,-0.9849
2007-05-14,13346.780273,2007-05-14,-0.9971,0.147,0.789,-0.9971
2007-05-15,13383.839844,2007-05-15,-0.9984,0.155,0.772,-0.9984
2007-05-16,13487.530273,2007-05-16,-0.9966,0.12,0.832,-0.9966
2007-05-17,13476.719727,2007-05-17,-0.9957,0.151,0.743,-0.9957
